year,month,cat_name,location,total_money,total_discount
2017,8,Ambers/Pales - Draught,The Dram Shop Front St.,4797.87,814.63
2017,8,Barley Wine - Bottled,The Dram Shop Front St.,48.76,0.49
2017,8,Belgian - Bottled,The Dram Shop Front St.,163.0,0.0
2017,8,Belgian - Draught,The Dram Shop Front St.,947.18,47.32
2017,8,Big Beer - Bottled,The Dram Shop Front St.,9.0,0.0
2017,8,Cider - Bottled,The Dram Shop Front St.,221.0,19.0
2017,8,Cider - Draught,The Dram Shop Front St.,5595.25,402.5
2017,8,FLIGHT,The Dram Shop Front St.,938.05,1.95
2017,8,Glassware,The Dram Shop Front St.,276.72,3.28
2017,8,Growlers,The Dram Shop Front St.,2331.89,46.11
2017,8,IPA - Bottled,The Dram Shop Front St.,40.0,5.0
2017,8,IPA - Draught,The Dram Shop Front St.,14983.09,1072.41
2017,8,KEG DEPOSIT,The Dram Shop Front St.,80.0,0.0
2017,8,Kombucha,The Dram Shop Front St.,1329.36,36.89
2017,8,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,100.21,13.79
2017,8,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,8020.35,673.65
2017,8,Misc.,The Dram Shop Front St.,195.12,26.88
2017,8,Porters/Stouts - Bottled,The Dram Shop Front St.,20.0,0.0
2017,8,Porters/Stouts - Draught,The Dram Shop Front St.,1836.57,106.43
2017,8,Red Wine - Bottled,The Dram Shop Front St.,271.7,22.3
2017,8,Rosé Wine - Bottled,The Dram Shop Front St.,159.24,15.76
2017,8,Seasonal/Event,The Dram Shop Front St.,2219.72,116.53
2017,8,Snacks,The Dram Shop Front St.,254.31,11.69
2017,8,Soda - Bottled,The Dram Shop Front St.,27.03,3.47
2017,8,Soda - Draught,The Dram Shop Front St.,412.15,9.6
2017,8,Softgoods,The Dram Shop Front St.,676.39,131.61
2017,8,Sour - Bottled,The Dram Shop Front St.,225.43,1.07
2017,8,Sour - Draught,The Dram Shop Front St.,5214.45,159.55
2017,8,Sparkling Wine - Bottled,The Dram Shop Front St.,90.62,6.38
2017,8,Tastings,The Dram Shop Front St.,359.89,0.11
2017,8,White Wine - Bottled,The Dram Shop Front St.,637.48,32.52
2017,8,Wine - Bottled,The Dram Shop Front St.,1006.15,84.35
2017,8,Wine - Draught,The Dram Shop Front St.,3679.77,118.73
